Siebel Enterprise Applications Siebel Server Manager, Version 7.5.3.17 [16285] LANG_INDEPENDENT
Copyright (c) 2001 Siebel Systems, Inc.  All rights reserved.

This software is the property of Siebel Systems, Inc., 2207 Bridgepointe Parkway,
San Mateo, CA 94404.

User agrees that any use of this software is governed by: (1) the applicable
user limitations and other terms and conditions of the license agreement which
has been entered into with Siebel Systems or its authorized distributors; and
(2) the proprietary and restricted rights notices included in this software.

WARNING: THIS COMPUTER PROGRAM IS PROTECTED BY U.S. AND INTERNATIONAL LAW.
UNAUTHORIZED REPRODUCTION, DISTRIBUTION OR USE OF THIS PROGRAM, OR ANY PORTION
OF IT, MAY RESULT IN SEVERE CIVIL AND CRIMINAL PENALTIES, AND WILL BE
PROSECUTED TO THE MAXIMUM EXTENT POSSIBLE UNDER THE LAW.

If you have received this software in error, please notify Siebel Systems
immediately at (650) 295-5000.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 1 server(s) out of a total of 1 server(s) in the enterprise

srvrmgr:foobarcrm1> load preferences
File: D:\sea752\client\BIN\.Siebel_svrmgr.pref

srvrmgr:foobarcrm1> list comp

SV_NAME     CC_ALIAS           CC_NAME                               CT_ALIAS  CG_ALIAS      CC_RUNMODE   CP_DISP_RUN_STATE  CP_NUM_RUN_TASKS  CP_MAX_TASKS  CP_ACTV_MTS_PROCS  CP_MAX_MTS_PROCS  CP_START_TIME        CP_END_TIME  CP_STATUS  CC_INCARN_NO  CC_DESC_TEXT
----------  -----------------  ------------------------------------  --------  ------------  -----------  -----------------  ----------------  ------------  -----------------  ----------------  -------------------  -----------  ---------  ------------  ------------
foobarcrm1  BusIntBatchMgr     Business Integration Batch Manager              EAI           Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  BusIntMgr          Business Integration Manager                    EAI           Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  ClientAdmin        Client Administration                           System        Background   Ativado            0                 1                                                  2013-03-16 05:03:34
foobarcrm1  CommConfigMgr      Communications Configuration Manager            CommMgmt      Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  CommInboundMgr     Communications Inbound Manager                  CommMgmt      Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  CommOutboundMgr    Communications Outbound Manager                 CommMgmt      Batch        Ativado            0                 50            1                  1                 2013-03-16 05:03:34
foobarcrm1  CommSessionMgr     Communications Session Manager                  CommMgmt      Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  DbXtract           Database Extract                                Remote        Batch        Ativado            0                 10                                                 2013-03-16 05:03:34
foobarcrm1  EAIObjMgr_ptb      EAI Object Manager (PTB)                        EAI           Interactive  Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  MailMgr            Email Manager                                   CommMgmt      Background   Ativado            0                 20                                                 2013-03-16 05:03:34
foobarcrm1  EIM                Enterprise Integration Mgr                      EAI           Batch        Ativado            0                 5                                                  2013-03-16 05:03:34
foobarcrm1  FSMSrvr            File System Manager                             System        Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  GenNewDb           Generate New Database                           Remote        Batch        Ativado            0                 1                                                  2013-03-16 05:03:34
foobarcrm1  GenTrig            Generate Triggers                               Workflow      Batch        Ativado            0                 1                                                  2013-03-16 05:03:34
foobarcrm1  PageMgr            Page Manager                                    CommMgmt      Background   Ativado            0                 20                                                 2013-03-16 05:03:34
foobarcrm1  PDbXtract          Parallel Database Extract                       Remote        Batch        Em execução        4                 10            1                  1                 2013-03-16 05:03:34
foobarcrm1  RepAgent           Replication Agent                               Remote        Background   Ativado            0                 1                                                  2013-03-16 05:03:34
foobarcrm1  ServerMgr          Server Manager                                  System        Interactive  Em execução        1                 20                                                 2013-03-16 05:03:34
foobarcrm1  SRBroker           Server Request Broker                           System        Interactive  Em execução        3                 100           1                  1                 2013-03-16 05:03:34
foobarcrm1  SRProc             Server Request Processor                        System        Interactive  Fax                0                 20            0                  1                 2013-03-16 05:03:34
foobarcrm1  SynchMgr           Synchronization Manager                         Remote        Interactive  Ativado            0                 100           1                  1                 2013-03-16 05:03:34
foobarcrm1  TxnMerge           Transaction Merger                              Remote        Background   Ativado            0                 10                                                 2013-03-16 05:03:34
foobarcrm1  TxnProc            Transaction Processor                           Remote        Background   Ativado            0                 1                                                  2013-03-16 05:03:34
foobarcrm1  TxnRoute           Transaction Router                              Remote        Background   Ativado            0                 10                                                 2013-03-16 05:03:34
foobarcrm1  UpgKitBldr         Upgrade Kit Builder                             SiebAnywhere  Batch        Ativado            0                 1             1                  1                 2013-03-16 05:03:34
foobarcrm1  WorkActn           Workflow Action Agent                           Workflow      Background   Ativado            0                 5                                                  2013-03-16 05:03:34
foobarcrm1  WorkMon            Workflow Monitor Agent                          Workflow      Background   Ativado            0                 5                                                  2013-03-16 05:03:34
foobarcrm1  WfProcBatchMgr     Workflow Process Batch Manager                  Workflow      Batch        Ativado            0                 20            1                  1                 2013-03-16 05:03:34
foobarcrm1  WfProcMgr          Workflow Process Manager                        Workflow      Batch        Fax                0                 20            0                  1                 2013-03-16 05:03:34
foobarcrm1  ePharmaObjMgr_ptb  ePharma Object Manager (PTB)                    LifeSciences  Interactive  Ativado            0                 20            1                  1                 2013-03-16 05:03:34

30 rows returned.

srvrmgr:foobarcrm1> list comp types

CT_NAME                                                                       CT_RUNMODE                       CT_ALIAS                         CT_DESC_TEXT
----------------------------------------------------------------------------  -------------------------------  -------------------------------  --------------------------------------------------------------------------------------------------------------------
Analytic Adaptor Manager                                                      Batch                            Analytic Adaptor Manager         Analytic Adaptor Manager Service
Analytic Adaptor Manager                                                      Background                       Analytic Adaptor Manager         Analytic Adaptor Manager Service
Application Object Manager                                                    Interactive                      AppObjMgr                        Object manager component type for thin-client and web-client applications
Appointment Booking Service                                                   Batch                            Appointment Booking Service      Appointment Booking Service Service
Appointment Booking Service                                                   Background                       Appointment Booking Service      Appointment Booking Service Service
Batch Assignment                                                              Batch                            AsgnBatch                        Batch assigns positions and employees to objects
Assignment Manager                                                            Batch                            AsgnSrvr                         Assigns positions and employees to objects
Business Service Manager                                                      Batch                            BusSvcMgr                        Business Service Manager component
Business Service Manager                                                      Background                       BusSvcMgr                        Business Service Manager component
Categorization Manager                                                        Batch                            Categorization Manager           Categorization Manager Service
Categorization Manager                                                        Background                       Categorization Manager           Categorization Manager Service
Client Administration                                                         Batch                            Client Administration            Client Administration Service
Client Administration                                                         Background                       Client Administration            Client Administration Service
Communications Inbound Manager                                                Batch                            CommInboundMgr                   Monitors and processes incoming media work items
Communications Session Manager                                                Batch                            CommSessionMgr                   Interact with end user for utilizing communications channels
Communication Server Configuration                                            Batch                            Communication Server Configura   Communication Server Configuration Service
Communication Server Configuration                                            Background                       Communication Server Configura   Communication Server Configuration Service
Complete Activity                                                             Batch                            Complete Activity                Complete Activity Service
Complete Activity                                                             Background                       Complete Activity                Complete Activity Service
Content Project                                                               Batch                            Content Project                  Content Project Service
Content Project                                                               Background                       Content Project                  Content Project Service
Crediting Engine DB Operations                                                Batch                            Crediting Engine DB Operations   Crediting Engine DB Operations Service
Crediting Engine DB Operations                                                Background                       Crediting Engine DB Operations   Crediting Engine DB Operations Service
DCommerce Alerts                                                              Background                       DCommerce Alerts                 Background process that manages DCommerce alerts
DCommerce Automatic Auction Close                                             Background                       DCommerce Automatic Auction Cl   Background process that detects and closes auctions
DNB Update                                                                    Batch                            DNB Update                       DNB Update Service
DNB Update                                                                    Background                       DNB Update                       DNB Update Service
Data Cleansing                                                                Batch                            Data Cleansing                   Data Cleansing Service
Data Cleansing                                                                Background                       Data Cleansing                   Data Cleansing Service
Data Dictionary Service                                                       Batch                            Data Dictionary Service          Data Dictionary Service Service
Data Dictionary Service                                                       Background                       Data Dictionary Service          Data Dictionary Service Service
Database Extract                                                              Batch                            DbXtract                         Extracts visible data for a Siebel Remote client
DeDuplication                                                                 Batch                            DeDuplication                    DeDuplication Service
DeDuplication                                                                 Background                       DeDuplication                    DeDuplication Service
Document Driver                                                               Batch                            Document Driver                  Document Driver Service
Document Driver                                                               Background                       Document Driver                  Document Driver Service
Data Quality Manager                                                          Batch                            Dqmgr                            Cleanse data and de-duplicate records
DynamicCommerce                                                               Batch                            DynamicCommerce                  DynamicCommerce Service
DynamicCommerce                                                               Background                       DynamicCommerce                  DynamicCommerce Service
EAI Business Integration Manager                                              Batch                            EAI Business Integration Manag   EAI Business Integration Manager Service
EAI Business Integration Manager                                              Background                       EAI Business Integration Manag   EAI Business Integration Manager Service
Enterprise Application Integration Connector Receiver                         Background                       EAIDeprecatedRcvr                Deprecated receiver for in-bound EAI transactions used by connectors
EAI Object Manager                                                            Interactive                      EAIObjMgr                        Object manager component type for thin-client EAI applications
Enterprise Application Integration Receiver                                   Background                       EAIRcvr                          Generic receiver for in-bound EAI transactions
Enterprise Integration Mgr                                                    Batch                            EIM                              Integrates enterprise data to and from other systems
ERM Compensation Planning Service                                             Batch                            ERM Compensation Planning Serv   ERM Compensation Planning Service Service
ERM Compensation Planning Service                                             Background                       ERM Compensation Planning Serv   ERM Compensation Planning Service Service
FS Cycle Counting                                                             Batch                            FS Cycle Counting                FS Cycle Counting Service
FS Cycle Counting                                                             Background                       FS Cycle Counting                FS Cycle Counting Service
FS Fulfillment Service                                                        Batch                            FS Fulfillment Service           FS Fulfillment Service Service
FS Fulfillment Service                                                        Background                       FS Fulfillment Service           FS Fulfillment Service Service
FS Invoice                                                                    Batch                            FS Invoice                       FS Invoice Service
FS Invoice                                                                    Background                       FS Invoice                       FS Invoice Service
FS Mobile Inventory Transaction                                               Batch                            FS Mobile Inventory Transactio   FS Mobile Inventory Transaction Service
FS Mobile Inventory Transaction                                               Background                       FS Mobile Inventory Transactio   FS Mobile Inventory Transaction Service
FS Part Locator Service                                                       Batch                            FS Part Locator Service          FS Part Locator Service Service
FS Part Locator Service                                                       Background                       FS Part Locator Service          FS Part Locator Service Service
FS Preventive Maintenance                                                     Batch                            FS Preventive Maintenance        FS Preventive Maintenance Service
FS Preventive Maintenance                                                     Background                       FS Preventive Maintenance        FS Preventive Maintenance Service
FS Replenish                                                                  Batch                            FS Replenish                     FS Replenish Service
FS Replenish                                                                  Background                       FS Replenish                     FS Replenish Service
Service Order Fulfillment Engine                                              Batch                            FSFulfill                        Fulfill pending Service Orders
Service Order Part Locator Engine                                             Batch                            FSLocate                         Locate pending Service Orders
File System Manager                                                           Batch                            FSMSrvr                          The file system manager component
Forecast 2000 Internal Service                                                Batch                            Forecast 2000 Internal Service   Forecast 2000 Internal Service Service
Forecast 2000 Internal Service                                                Background                       Forecast 2000 Internal Service   Forecast 2000 Internal Service Service
Generate New Database                                                         Batch                            GenNewDb                         Generates a new Sybase SQL Anywhere database template file for Siebel Remote
Generate Triggers                                                             Batch                            GenTrig                          Generates triggers for Workflow Manager and Assignment Manager
