srvrmgr> list sessions

SV_NAME    |CC_ALIAS                 |CG_ALIAS      |TK_TASKID|TK_PID|TK_DISP_RUNSTATE|TK_IDLE_STATE|TK_PING_TIME|TK_HUNG_STATE|DB_SESSION_ID                                      |OM_LOGIN                |OM_BUSSVC|OM_VIEW|OM_APPLET|OM_BUSCOMP|
-----------  -------------------------  --------------  ---------  ------  ----------------  -------------  ------------  -------------  ---------------------------------------------------  ------------------------  ---------  -------  ---------  ----------  
ausodcfst02|ServerMgr                |System        |58720258 |      |Ejecutando      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |57671682 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |56623106 |      |Ejecutando      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |55574530 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |54525954 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |53477378 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |52428803 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |51380226 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |50331650 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |49283074 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |48234498 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|ServerMgr                |System        |47185922 |      |Finalizado      |FALSE        |            |             |                                                   |                        |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700217 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id:                              |EELENO                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700214 |      |Finalizado      |FALSE        |            |             |Shared Connection Id:                              |sblanon                 |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700211 |      |Finalizado      |FALSE        |            |             |Shared Connection Id:                              |AADMIN                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700208 |      |Finalizado      |FALSE        |            |             |Shared Connection Id: , Transac                    |GZURITA                 |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700205 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id: , Transaction Connection Id: |AADMIN                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700202 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id:                              |GZURITA                 |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700199 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id:                              |sadmin                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700196 |      |Finalizado      |FALSE        |            |             |Shared Connection Id:                              |sblanon                 |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700193 |      |Finalizado      |FALSE        |            |             |Shared Connection Id:                              |AADMIN                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700190 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id:                              |AADMIN                  |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700187 |      |Finalizado      |FALSE        |            |             |Shared Connection Id:                              |sblanon                 |         |       |         |          |
ausodcfst02|eCommunicationsObjMgr_esn|Communications|36700184 |      |Ejecutando      |FALSE        |            |             |Shared Connection Id:                              |AADMIN                  |         |       |         |          |
